Order,Player name,Recipient,event_id,min,sec,outcome,period_id,team_id,Angle,Degrees,Y travel,X travel,Distance,Goalmouth Y,Goalmouth Z,X-end,x,Y-end,y
80,"Jaaskelainen, Jussi",Incomplete pass,35,5,13,Incomplete,1st,30,5.8,332.3155212,-29.7,39.3,45.9,,,53.6,14.3,22.3,52
82,"Milner, James",Incomplete pass,53,5,15,Incomplete,1st,43,0.7,40.10704566,14.2,10.8,14.9,,,57.7,46.9,88.8,74.6
84,"Steinsson, Gretar",Incomplete pass,38,5,20,Incomplete,1st,30,6.2,355.233833,-1.7,26.6,28,,,65.5,38.9,0,1.7
86,"Kolarov, Aleksandar","Richards, Micah",55,5,32,Complete,1st,43,4.7,269.2901637,-59.8,-0.4,41.7,,,26.4,26.8,40.2,100
88,"Richards, Micah","Hart, Joe",56,5,35,Complete,1st,43,3,171.8873385,3.5,-21.2,22.4,,,3.5,24.7,45.6,42.1
90,"Hart, Joe","Dzeko, Edin",57,5,38,Complete,1st,43,6.2,355.233833,-3.1,57.9,60.8,,,61.4,3.5,42.5,45.6
92,"Dzeko, Edin","Silva, David",58,5,43,Complete,1st,43,4.7,269.2901637,-21.5,0.5,14.6,,,59.9,59.4,16.4,37.9
94,"Silva, David",N,59,5,46,Complete,1st,43,5.7,326.5859432,-19.6,21.2,25.9,,,95.6,74.4,1.3,20.9
96,"Silva, David","Toure, Gnegneri Yaya",63,6,4,Complete,1st,43,2.7,154.6986047,3.9,-6.7,7.8,,,86.6,93.3,3.9,0
98,"Toure, Gnegneri Yaya","Silva, David",64,6,5,Complete,1st,43,3.2,183.3464944,-0.1,-5.5,5.8,,,80.9,86.4,1.3,1.4
100,"Silva, David","Richards, Micah",65,6,7,Complete,1st,43,1.7,97.40282517,17.9,-1.4,12.3,,,79.5,80.9,19.3,1.4
102,"Richards, Micah",Incomplete pass,66,6,8,Incomplete,1st,43,6.2,355.233833,-0.6,9.7,10.2,,,89.3,79.6,19,19.6
104,"Robinson, Paul","Petrov, Martin",45,6,12,Complete,1st,30,0.4,22.91831181,8,12.1,13.8,,,20.5,8.4,95.5,87.5
106,"Petrov, Martin","Davies, Kevin",46,6,14,Complete,1st,30,0.1,5.729577951,1.5,12.4,13.1,,,32.4,20,96.6,95.1
108,"Davies, Kevin","Muamba, Fabrice",47,6,18,Complete,1st,30,5.3,303.6676314,-28.2,13.5,23.8,,,45.9,32.4,67.9,96.1
110,"Muamba, Fabrice","Klasnic, Ivan",48,6,20,Complete,1st,30,2.8,160.4281826,4.4,-8.1,9,,,37.8,45.9,72.3,67.9
112,"Klasnic, Ivan",Incomplete pass,49,6,22,Incomplete,1st,30,0.4,22.91831181,12.6,21.1,23.8,,,58.9,37.8,84.9,72.3
114,"Kompany, Vincent","Silva, David",69,6,25,Complete,1st,43,0.4,22.91831181,14.8,21.3,24.5,,,61.6,40.3,32.7,17.9
116,"Silva, David","Aguero, Sergio",70,6,26,Complete,1st,43,6.1,349.504255,-5.8,26.8,28.4,,,98.6,71.8,18.7,24.5
118,"Aguero, Sergio",Incomplete pass,71,6,28,Incomplete,1st,43,2.1,120.321137,17.8,-6.3,13.8,,,92.3,98.6,36.5,18.7
120,"Silva, David",N,73,6,41,Complete,1st,43,2,114.591559,10.8,-3.7,9,,,88,91.7,10.8,0
122,"Reo-Coker, Nigel","Klasnic, Ivan",53,6,48,Complete,1st,30,0.1,5.729577951,1.6,13.7,14.4,,,31.6,17.9,80.4,78.8
124,"Klasnic, Ivan",Incomplete pass,54,6,50,Incomplete,1st,30,6.1,349.504255,-1.1,3.8,4.1,,,35.4,31.6,79.3,80.4
